code_commune,commune,price_euro_m2,departement_code
31529,Samouillan,10.8814528339144,31
31343,Mirambeau,10.8814528339144,31
32185,Lalanne-Arqué,10.8814528339144,32
31008,Anan,10.8814528339144,31
32410,Samatan,12.2633693497271,32
31477,Saint-Élix-Séglan,10.8814528339144,31
31001,Agassac,10.8814528339144,31
32186,Lamaguère,10.8814528339144,32
32438,Tachoires,10.8814528339144,32
31347,Molas,10.8814528339144,31
32228,Manent-Montané,10.8814528339144,32
32280,Mont-d'Astarac,10.8814528339144,32
31239,L'Isle-en-Dodon,10.8814528339144,31
31415,Peyrouzet,10.8814528339144,31
32430,Sère,10.8814528339144,32
31493,Saint-Lary-Boujean,10.8814528339144,31
31109,Cassagnabère-Tournas,10.8814528339144,31
31115,Castelgaillard,10.8814528339144,31
31482,Saint-Frajou,10.8814528339144,31
31168,Eoux,10.8814528339144,31
32010,Arrouède,10.8814528339144,32
32267,Monferran-Plavès,10.8814528339144,32
31479,Saint-Ferréol-de-Comminges,10.8814528339144,31
32412,Saramon,10.8814528339144,32
32287,Monties,10.8814528339144,32
32433,Simorre,10.8814528339144,32
31456,Riolas,10.8814528339144,31
31414,Peyrissas,10.8814528339144,31
32468,Aussos,10.8814528339144,32
31363,Montbernard,10.8814528339144,31
31134,Cazeneuve-Montaut,10.8814528339144,31
32260,Monbardon,10.8814528339144,32
31152,Coueilles,10.8814528339144,31
31543,Sénarens,10.8814528339144,31
32198,Lartigue,10.8814528339144,32
31122,Casties-Labrande,10.8814528339144,31
31309,Lussan-Adeilhac,10.8814528339144,31
31121,Castéra-Vignoles,10.8814528339144,31
31083,Boussan,10.8814528339144,31
32138,Garravet,10.8814528339144,32
31522,Salerm,10.8814528339144,31
32130,Faget-Abbatial,10.8814528339144,32
32053,Bézues-Bajon,10.8814528339144,32
32067,Cabas-Loumassès,10.8814528339144,32
31028,Aurignac,10.8814528339144,31
32048,Betcave-Aguin,10.8814528339144,32
32213,Lombez,11.6079324206459,32
31428,Polastron,10.8814528339144,31
65134,Casterets,10.8814528339144,65
32413,Sarcos,10.8814528339144,32
31397,Nénigan,10.8814528339144,31
31593,Cazac,10.8814528339144,31
32250,Meilhan,10.8814528339144,32
31350,Mondilhan,10.8814528339144,31
32336,Puylausic,10.8814528339144,32
11348,Saint-Julien-de-Briola,11.904798898682,11
9309,Teilhet,11.904798898682,93
11225,Mas-Saintes-Puelles,11.904798898682,11
9258,Saint-Félix-de-Rieutord,11.904798898682,92
9260,Sainte-Foi,11.904798898682,92
9175,Ludiès,11.904798898682,91
11076,Castelnaudary,11.5654812045353,11
9332,Verniolle,11.904798898682,93
9244,Rieucros,11.904798898682,92
11419,Villautou,11.904798898682,11
11162,Generville,11.904798898682,11
11371,Salles-sur-l'Hers,11.904798898682,11
11159,Gaja-la-Selve,11.904798898682,11
9132,Gaudiès,11.904798898682,91
9040,La Bastide-de-Lordat,11.904798898682,90
9089,Cazals-des-Baylès,11.904798898682,90
9180,Manses,11.904798898682,91
9238,Les Pujols,11.904798898682,92
11277,Pécharic-et-le-Py,11.904798898682,11
11291,Plavilla,11.904798898682,11
9179,Malléon,11.904798898682,91
9323,Vals,11.904798898682,93
11331,Saint-Amans,11.904798898682,11
11238,Molleville,11.904798898682,11
11114,Cumiès,11.904798898682,11
9153,Lapenne,11.904798898682,91
9101,Coussa,11.904798898682,91
9315,Trémoulet,11.904798898682,93
9284,Ségura,11.904798898682,92
11033,Belpech,11.904798898682,11
11149,Fonters-du-Razès,11.904798898682,11
9022,Arvigna,11.904798898682,90
9145,Les Issards,11.904798898682,91
11234,Mireval-Lauragais,11.904798898682,11
11268,Orsans,11.904798898682,11
9265,Saint-Jean-du-Falga,11.904798898682,92
9254,Saint-Amadou,11.904798898682,92
11057,Cahuzac,11.904798898682,11
9312,La Tour-du-Crieu,11.904798898682,93
9178,Malegoude,11.904798898682,91
11184,Lafage,11.904798898682,11
11312,Ribouisse,11.904798898682,11
80572,Morlancourt,12.0942604104436,80
80523,Méaulte,12.0942604104436,80
80264,Éclusier-Vaux,12.0942604104436,80
80560,Montauban-de-Picardie,12.0942604104436,80
80304,Fay,12.0942604104436,80
62777,Le Sars,12.0942604104436,62
80172,Cappy,12.0942604104436,80
80615,Ovillers-la-Boisselle,12.0942604104436,80
80295,Étinehem-Méricourt,12.0942604104436,80
80664,Rancourt,12.0942604104436,80
80593,La Neuville-lès-Bray,12.0942604104436,80
62515,Ligny-Thilloy,12.0942604104436,62
80428,Hem-Monacu,12.0942604104436,80
62326,Favreuil,12.0942604104436,62
80136,Bray-sur-Somme,12.0942604104436,80
80017,Allaines,12.0942604104436,80
80807,Ville-sur-Ancre,12.0942604104436,80
